LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
GRC,GGEXP,DEF,PC_GDP,A,2000,2.39438245549088,
NLD,GGEXP,DEF,PC_GDP,A,2000,1.46170302672304,
DEU,GGEXP,DEF,PC_GDP,A,2000,1.09004357329464,
CZE,GGEXP,DEF,PC_GDP,A,2000,1.71619400410105,
ISR,GGEXP,DEF,PC_GDP,A,2000,7.679122578669371,
ITA,GGEXP,DEF,PC_GDP,A,2000,1.11791025288581,
PRT,GGEXP,DEF,PC_GDP,A,2000,1.5627603265349201,
CHE,GGEXP,DEF,PC_GDP,A,2000,1.1765222404161,
POL,GGEXP,DEF,PC_GDP,A,2000,1.38306957916239,
SVK,GGEXP,DEF,PC_GDP,A,2000,1.36378852930004,
SVN,GGEXP,DEF,PC_GDP,A,2000,1.12225444635346,
IRL,GGEXP,DEF,PC_GDP,A,2000,0.514668700995937,
BEL,GGEXP,DEF,PC_GDP,A,2000,1.2144643578738101,
SWE,GGEXP,DEF,PC_GDP,A,2000,2.1614366031775503,
ESP,GGEXP,DEF,PC_GDP,A,2000,1.10256833747266,
NOR,GGEXP,DEF,PC_GDP,A,2000,1.8537328424721797,
AUT,GGEXP,DEF,PC_GDP,A,2000,0.8638221087674871,
EST,GGEXP,DEF,PC_GDP,A,2000,1.1909820650399199,
USA,GGEXP,DEF,PC_GDP,A,2000,2.97217993109285,
FRA,GGEXP,DEF,PC_GDP,A,2000,1.94192420456044,
LUX,GGEXP,DEF,PC_GDP,A,2000,0.239867390075981,
HUN,GGEXP,DEF,PC_GDP,A,2000,1.2103900525155602,
DNK,GGEXP,DEF,PC_GDP,A,2000,1.43656905095308,
GBR,GGEXP,DEF,PC_GDP,A,2000,2.24451034134045,
FIN,GGEXP,DEF,PC_GDP,A,2000,1.3896014423711203,
AUS,GGEXP,DEF,PC_GDP,A,2000,1.50624196883696,
LVA,GGEXP,DEF,PC_GDP,A,2000,0.8441383282760491,
LTU,GGEXP,DEF,PC_GDP,A,2000,1.2740705494381201,
